Miejsce;5_km_sec;finish_sec;age;gender
1.0;877.0;3899;31;M
2.0;888.0;3983;37;M
3.0;946.0;4104;27;M
4.0;971.0;4216;35;M
5.0;972.0;4227;28;M
6.0;969.0;4234;40;M
7.0;937.0;4278;24;M
8.0;990.0;4302;34;M
9.0;1030.0;4456;22;M
10.0;1013.0;4462;31;M
11.0;1029.0;4483;26;M
12.0;1035.0;4490;31;M
13.0;1035.0;4496;27;M
14.0;1036.0;4505;32;M
15.0;1038.0;4520;28;F
16.0;1037.0;4533;33;M
17.0;1013.0;4539;39;M
18.0;1037.0;4550;42;M
19.0;1039.0;4561;49;M
20.0;994.0;4574;31;M
21.0;1039.0;4575;45;M
22.0;1062.0;4578;33;M
23.0;1035.0;4580;31;M
24.0;994.0;4602;30;M
25.0;1038.0;4614;38;F
26.0;1038.0;4616;42;M
27.0;1037.0;4623;30;M
28.0;1100.0;4626;25;M
29.0;1035.0;4643;32;M
30.0;1094.0;4680;47;M
31.0;1071.0;4698;53;M
32.0;1093.0;4709;35;M
33.0;1071.0;4725;31;M
34.0;1095.0;4735;28;M
35.0;1039.0;4765;44;M
36.0;1105.0;4786;34;M
37.0;1101.0;4790;45;M
38.0;1092.0;4794;34;M
39.0;1148.0;4796;32;M
40.0;1102.0;4799;37;M
41.0;1127.0;4816;39;M
42.0;1102.0;4817;35;M
43.0;1147.0;4825;41;M
45.0;1101.0;4834;22;M
44.0;1036.0;4834;36;M
46.0;1072.0;4836;32;M
47.0;1062.0;4836;36;M
48.0;1072.0;4840;33;F
49.0;1124.0;4841;45;M
50.0;1124.0;4844;43;M
51.0;1128.0;4851;35;M
52.0;1093.0;4852;44;M
53.0;1107.0;4858;43;M
54.0;1129.0;4861;29;M
55.0;1094.0;4865;33;M
56.0;1134.0;4865;49;M
57.0;1128.0;4869;23;M
58.0;1135.0;4872;49;M
59.0;1094.0;4877;49;M
60.0;1103.0;4878;40;M
61.0;1160.0;4878;44;M
62.0;1105.0;4881;31;M
63.0;1134.0;4883;49;M
64.0;1119.0;4887;44;M
65.0;1124.0;4889;31;M
66.0;1127.0;4889;22;M
67.0;1130.0;4890;23;M
68.0;1061.0;4891;45;M
69.0;1097.0;4895;20;M
70.0;1132.0;4898;38;M
71.0;1126.0;4904;27;M
72.0;1158.0;4905;28;M
73.0;1147.0;4912;43;M
74.0;1118.0;4912;30;M
75.0;1072.0;4914;33;M
76.0;1132.0;4920;39;M
77.0;1168.0;4921;45;M
78.0;1156.0;4925;47;M
79.0;1124.0;4926;33;M
80.0;1115.0;4931;49;M
81.0;1124.0;4938;22;M
82.0;1131.0;4942;35;M
83.0;1143.0;4946;41;M
84.0;1147.0;4952;39;M
85.0;1139.0;4959;37;M
86.0;1134.0;4972;21;M
87.0;1140.0;4973;38;M
88.0;1163.0;4974;39;M
89.0;1133.0;4974;39;M
90.0;1139.0;4977;30;F
91.0;1127.0;4983;38;M
92.0;1183.0;4984;37;M
