Miejsce;5_km_sec;finish_sec;age;gender
5.0;907.0;4205;32;M
6.0;995.0;4218;25;M
7.0;1005.0;4248;41;M
8.0;923.0;4277;28;M
9.0;997.0;4284;29;M
10.0;1002.0;4284;36;M
11.0;976.0;4309;23;M
12.0;996.0;4312;30;M
13.0;998.0;4365;32;M
14.0;1017.0;4377;29;M
15.0;997.0;4395;46;M
16.0;1013.0;4484;50;M
17.0;1032.0;4491;35;M
18.0;1029.0;4522;34;M
19.0;1088.0;4604;43;M
20.0;1073.0;4608;32;M
21.0;1057.0;4616;29;F
22.0;1042.0;4625;33;F
23.0;1101.0;4645;23;M
24.0;1031.0;4669;32;M
25.0;1042.0;4671;23;F
26.0;1090.0;4677;40;M
27.0;1132.0;4682;40;M
28.0;1119.0;4682;40;M
29.0;1100.0;4687;23;M
30.0;1089.0;4693;28;M
31.0;1105.0;4695;54;M
32.0;1088.0;4701;31;M
33.0;1091.0;4710;40;M
34.0;1129.0;4735;35;M
35.0;1153.0;4744;26;M
36.0;1076.0;4750;34;M
37.0;1093.0;4754;49;M
38.0;1115.0;4763;40;M
39.0;1100.0;4766;32;M
40.0;1141.0;4772;34;M
41.0;1127.0;4788;35;M
42.0;1027.0;4789;32;M
43.0;1097.0;4794;46;M
44.0;1087.0;4797;33;M
45.0;1117.0;4799;32;M
46.0;1093.0;4802;32;M
47.0;1131.0;4804;44;M
48.0;1141.0;4806;30;M
49.0;1133.0;4814;36;M
50.0;1115.0;4817;40;M
51.0;1149.0;4822;39;M
52.0;1143.0;4823;33;M
53.0;1128.0;4846;37;M
54.0;1089.0;4849;34;F
55.0;1110.0;4856;35;M
56.0;1119.0;4862;32;M
57.0;1129.0;4863;32;M
58.0;1151.0;4874;27;M
59.0;1169.0;4877;45;M
60.0;1128.0;4884;43;M
61.0;1172.0;4884;32;M
62.0;1122.0;4887;31;M
63.0;1172.0;4900;38;M
64.0;1196.0;4906;46;M
65.0;1106.0;4908;36;M
66.0;1160.0;4915;50;M
67.0;1161.0;4918;24;M
68.0;1130.0;4921;40;M
69.0;1159.0;4922;35;M
70.0;1150.0;4925;41;M
71.0;1100.0;4937;29;M
72.0;1093.0;4941;31;M
73.0;1142.0;4942;36;M
74.0;1165.0;4945;43;M
75.0;1173.0;4955;35;M
76.0;1152.0;4968;34;M
77.0;1174.0;4971;36;M
79.0;1190.0;4972;45;M
78.0;1160.0;4972;34;M
80.0;1184.0;4977;37;M
81.0;1202.0;4980;22;M
82.0;1193.0;4983;27;M
84.0;1138.0;4992;47;M
83.0;1184.0;4992;31;M
85.0;1169.0;4995;31;M
86.0;1159.0;5002;31;M
87.0;1186.0;5004;33;M
88.0;1206.0;5015;44;M
89.0;1152.0;5017;42;M
90.0;1124.0;5019;32;M
92.0;1196.0;5026;37;M
91.0;1175.0;5026;49;M
93.0;1126.0;5027;34;M
94.0;1177.0;5028;25;M
95.0;1172.0;5031;35;M
96.0;1148.0;5036;34;F
97.0;1223.0;5044;34;M
98.0;1183.0;5045;33;M
99.0;1168.0;5048;50;M
100.0;1180.0;5050;28;M
101.0;1169.0;5053;36;M
102.0;1150.0;5054;28;M
103.0;1167.0;5060;18;M
104.0;1148.0;5064;23;M
105.0;1175.0;5067;33;M
106.0;1129.0;5068;40;M
107.0;1182.0;5068;28;M
108.0;1212.0;5068;24;F
109.0;1212.0;5073;45;M
110.0;1180.0;5074;47;M
111.0;1197.0;5074;30;M
112.0;1263.0;5082;38;M
113.0;1175.0;5092;49;M
114.0;1236.0;5093;23;M
115.0;1180.0;5096;38;M
116.0;1233.0;5102;32;M
118.0;1162.0;5104;45;M
117.0;1173.0;5104;43;M
120.0;1212.0;5107;49;M
119.0;1143.0;5107;35;M
121.0;1198.0;5108;34;M
122.0;1169.0;5109;50;M
123.0;1187.0;5117;22;M
124.0;1128.0;5122;21;M
125.0;1208.0;5124;38;M
126.0;1231.0;5132;35;M
127.0;1147.0;5133;46;M
128.0;1161.0;5136;29;M
129.0;1150.0;5141;34;M
130.0;1190.0;5144;40;M
131.0;1190.0;5150;52;M
132.0;1184.0;5157;33;M
133.0;1237.0;5166;40;M
134.0;1192.0;5171;34;M
135.0;1100.0;5172;29;M
136.0;1253.0;5174;21;M
137.0;1194.0;5175;35;M
138.0;1178.0;5189;38;M
139.0;1213.0;5192;46;M
141.0;1222.0;5193;49;M
142.0;1214.0;5193;51;M
140.0;1237.0;5193;42;M
143.0;1230.0;5194;45;M
144.0;1218.0;5195;38;M
145.0;1218.0;5197;41;M
146.0;1219.0;5197;19;M
